Learning Rate:0.01, Batch Size:100
Epoch:0.5% Of 1/5, Loss:[1.5268394], Batch Acc:7.000000000000001%, Epoch Acc:7.000000000000001%
########  8.638055555555555Hrs 0Mins 0Secs remaining  ########
Epoch:1.0% Of 1/5, Loss:[1.84437066], Batch Acc:11.0%, Epoch Acc:9.0%
########  8.554166666666667Hrs 0Mins 0Secs remaining  ########
Epoch:1.5% Of 1/5, Loss:[1.78180842], Batch Acc:14.000000000000002%, Epoch Acc:11.0%
########  8.543888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:2.0% Of 1/5, Loss:[0.38634652], Batch Acc:31.0%, Epoch Acc:16.0%
########  8.475833333333334Hrs 0Mins 0Secs remaining  ########
Epoch:2.5% Of 1/5, Loss:[0.36075672], Batch Acc:28.999999999999996%, Epoch Acc:18.0%
########  8.526666666666667Hrs 0Mins 0Secs remaining  ########
Epoch:3.0% Of 1/5, Loss:[0.258181], Batch Acc:42.0%, Epoch Acc:22.0%
########  8.4925Hrs 0Mins 0Secs remaining  ########
Epoch:3.5% Of 1/5, Loss:[0.22499817], Batch Acc:37.0%, Epoch Acc:24.0%
########  8.515Hrs 0Mins 0Secs remaining  ########
Epoch:4.0% Of 1/5, Loss:[0.30912294], Batch Acc:37.0%, Epoch Acc:26.0%
########  8.495277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:4.5% Of 1/5, Loss:[0.23607302], Batch Acc:31.0%, Epoch Acc:27.0%
########  8.456666666666667Hrs 0Mins 0Secs remaining  ########
Epoch:5.0% Of 1/5, Loss:[0.21594605], Batch Acc:32.0%, Epoch Acc:27.0%
########  8.393888888888888Hrs 0Mins 0Secs remaining  ########
Epoch:5.5% Of 1/5, Loss:[0.21032618], Batch Acc:36.0%, Epoch Acc:28.000000000000004%
########  8.407777777777778Hrs 0Mins 0Secs remaining  ########
Epoch:6.0% Of 1/5, Loss:[0.21589643], Batch Acc:38.0%, Epoch Acc:28.999999999999996%
########  8.3825Hrs 0Mins 0Secs remaining  ########
Epoch:6.5% Of 1/5, Loss:[0.22086657], Batch Acc:28.000000000000004%, Epoch Acc:28.999999999999996%
########  8.3925Hrs 0Mins 0Secs remaining  ########
Epoch:7.0% Of 1/5, Loss:[0.22104979], Batch Acc:34.0%, Epoch Acc:28.999999999999996%
########  8.441666666666666Hrs 0Mins 0Secs remaining  ########
Epoch:7.5% Of 1/5, Loss:[0.22928968], Batch Acc:27.0%, Epoch Acc:28.999999999999996%
########  8.414722222222222Hrs 0Mins 0Secs remaining  ########
Epoch:8.0% Of 1/5, Loss:[0.21877879], Batch Acc:33.0%, Epoch Acc:28.999999999999996%
########  8.463333333333333Hrs 0Mins 0Secs remaining  ########
Epoch:8.5% Of 1/5, Loss:[0.21799715], Batch Acc:28.000000000000004%, Epoch Acc:28.999999999999996%
########  8.428611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:9.0% Of 1/5, Loss:[0.21461865], Batch Acc:25.0%, Epoch Acc:28.999999999999996%
########  8.404722222222222Hrs 0Mins 0Secs remaining  ########
Epoch:9.5% Of 1/5, Loss:[0.21778667], Batch Acc:35.0%, Epoch Acc:28.999999999999996%
########  8.346388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:10.0% Of 1/5, Loss:[0.2024098], Batch Acc:38.0%, Epoch Acc:30.0%
########  8.330555555555556Hrs 0Mins 0Secs remaining  ########
